IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
"Agence des communications mobiles op\xe9rationnelles de s\xe9curit\xe9 et de secours";ACMO;"130030851 00013";Paris;"TOUR LIBERTY 17 PLACE DES REFLETS 92400 COURBEVOIE";1;20/01/2023
"Agence premium";MPIC;"519322085 00035";CR\xc9TEIL;"13 RUE CHEVREUL 94700 MAISONS-ALFORT";0;13/05/2014
"Agglo La Rochelle THD";ALRT;"844198796 00022";Paris;"124 BOULEVARD DE VERDUN 92400 COURBEVOIE";0;28/12/2018
"Agil services";AGLS;"951260488 00014";Cr\xe9teil;"CS20010 110 RUE DE FONTENAY 94303 VINCENNES";0;13/11/2023
Agitys;AGTS;"853769164 00015";Blois;"6 RUE DU PUITS 41330 MAROLLES";0;28/09/2023
AHFY;AHFY;"813044229 00033";Vienne;"110 K ROUTE NATIONALE 75 38490 CHARANCIEU";0;20/09/2023
Ai2s;AI2S;"447618794 00054";Paris;"14 RUE CHARLES V 75004 PARIS";0;21/04/2022
"AIC Telecoms";AICT;"752616656 00019";PARIS;"55 BOULEVARD PEREIRE 75017 PARIS";1;06/11/2012
Aidicom;ADCO;"411784259 00045";Blois;"ZI DES PLANTES 8 RUE LOUIS PASTEUR 41140 NOYERS SUR CHER";0;07/09/2022
"Airbus defence and space SAS";ASSA;"393341516 00093";Toulouse;"ZI DU PALAYS 31 RUE DES COSMONAUTES 31042 TOULOUSE CEDEX 4";1;22/02/2010
"Airbus operation";AOPE;"420916918 00048";Toulouse;"316 ROUTE DE BAYONNE 31060 TOULOUSE CEDEX 9";1;04/01/2023
Aircall;AIRC;"807437595 00034";Paris;"11-15 RUE SAINT GEORGES 75009 PARIS";1;26/02/2019
"AirGSM Netherlands B.V.";AGSM;;"97145920 Amsterdam, Netherlands";"DE BOELELAAN 30 1083HJ AMSTERDAM PAYS-BAS";0;05/05/2025
Airmob;AIRM;"823064704 00054";Toulouse;"29 RUE PAUL RIQUET 31000 TOULOUSE";1;17/10/2016
"Airmob Infra Full";AIFL;"891196420 00014";Toulouse;"29 RUE PIERRE PAUL RIQUET 31000 TOULOUSE";1;24/11/2020
"Airmont mobile communication services";AMCS;"824387898 00011";Pontoise;"BATIMENT C 12-14 AVENUE LOUIS ARMAND 95120 ERMONT";0;11/01/2017
Airnity;AIRN;"893395822 00016";Cannes;"VILLA HADALAUR 751 CHEMIN DE PIGRANEL 06250 MOUGINS";1;28/01/2021
"Aisne THD";AISN;"812583912 00017";Versailles;"19 RUE STEPHENSON 78180 MONTIGNY LE BRETONNEUX";0;15/10/2015
Ait;AITA;"838867265 00012";Paris;"IMMEUBLE ARTOIS 11 RUE DE CAMBRAI CS 90042 75947 PARIS 19";0;30/08/2019
"AJ telecom";AJTE;"481370179 00030";Douai;"379 RUE DE L ELPRET 59870 MARCHIENNES";0;26/12/2017
"Akinea internet";AKIN;"432454718 00029";Versailles;"5 RUE DU CHANT DES OISEAUX 78360 MONTESSON";1;24/08/2007
Akio;AKIO;"421001702 00024";Paris;"43 RUE DE DUNKERQUE 75010 PARIS";0;18/05/2017
Alcacom;ALCC;"922511522 00018";Nanterre;"47 RUE DE BITCHE 92400 COURBEVOIE";1;27/12/2022
"ALE International";AINT;"602033185 00144";Nanterre;"32 AVENUE KLEBER 92700 COLOMBES";0;29/06/2017
Alekso;ALEK;"842362873 00015";Nanterre;"1 RUE JOSEPH LAHUEC 92350 LE PLESSIS-ROBINSON";0;11/01/2019
ALERTIM;ATIM;"391812500 00059";EVREUX;"46 RUE DE LA VALLEE 27200 VERNON";0;19/04/2013
ALFA.SAFETY;ALFA;"405100587 00048";Nantes;"PASSAGE DROUARD - BAT. 7 4 RUE DES OLIVETTES 44000 NANTES";0;26/10/2010
Alkivi;ALKI;"793677840 00035";"Lille M\xe9tropole";"3EME ETAGE 5 AVENUE LOUISE 59110 LA MADELEINE";1;19/02/2020
"All call";ALLC;"817573637 00011";Nice;"LE FRONT DE MER - ENTREE C 1 AVENUE DU DOCTEUR ROUX 06200 NICE";1;07/07/2016
"Alliance informatique";ALUE;"502453657 00038";Strasbourg;"AEROPARC 3 15 RUE DU CORDONNIER 67960 ENTZHEIM";0;17/12/2015
"Alliance Tr\xe8s Haut D\xe9bit";AXTD;"529193997 00036";Rodez;"ZA BEL AIR 13 AVENUE DU CAUSSE 12000 ONET-LE-CHATEAU";0;08/03/2018
Alliantel;ALEL;"512743006 00011";Paris;"31 RUE DE CONSTANTINOPLE 75008 PARIS";0;01/06/2017
Alnilam;ALNI;"518213699 00011";Paris;"91 RUE DU FAUBOURG SAINT HONORE 75008 PARIS";1;22/12/2009
"Alpes connect";ALCT;"819753963 00027";Grasse;"SOPHIA-ANTIPOLIS 291 RUE ALBERT CAQUOT 06560 VALBONNE";0;03/08/2020
"Alpes networks";ASKS;"888325958 00013";Annecy;"17 RUE MIRA 74650 CHAVANOD";1;28/08/2020
"ALPHA SYSTEM";ALSY;"342757325 00051";Orl\xe9ans;"20 BOULEVARD JEAN JAURES 45000 ORLEANS";0;08/02/2010
Alphalink;ALPL;"423645688 00072";Saint-Nazaire;"LE BOISMAIN ZAC DU VAL SAINT MARTIN ROUTE DE CHAUVE 44210 PORNIC";1;10/11/2005
Alsatis;R012;"479858235 00035";Toulouse;"ZAC PARC BASSO CAMBO 11 RUE MICHEL LABROUSSE 31100 TOULOUSE";1;23/12/2004
Alsyone;ALSN;"498418177 00016";QUIMPER;"PENHORS 29720 TREOGAT";0;16/05/2018
Alteasystems;ALTS;;"16838159 Estonie";"LOOTSA TN 2A LASNAMAE LINNASOA 11415 TALLINN ESTONIE";0;24/11/2023
"ALTER TELECOM";ALTE;"479321515 00039";Versailles;"5 RUE DU CHANT DES OISEAUX 78360 MONTESSON";1;10/07/2006
Alternatiq;ALIQ;"490210424 00019";Saverne;"25C RUE PRINCIPALE 67710 WANGENBOURG-ENGENTHAL";0;03/07/2017
"Altitude fibre 21";AF21;"831500038 00011";Evreux;"9200 VOIE DES CLOUETS 27100 VAL-DE-REUIL";0;14/08/2019
"Altitude Fibre 39";AF39;"822893186 00020";Evreux;"2247 VOIE DE L'OREE 27100 VAL-DE-REUIL";0;24/02/2021
"Altitude fibre 40";AF40;"845170604 00019";Evreux;"9200 VOIE DES CLOUETS 27100 VAL-DE-REUIL";0;17/09/2019
"Altitude infra Calvados";DSP1;"538581448 00015";Lisieux;"1-8 RUE AUGUSTE DECAENS 14800 DEAUVILLE";0;11/01/2012
"Altitude Infra Coeur C\xf4te Fleurie";TUTO;"527512081 00029";Lisieux;"1-8 RUE AUGUSTE DECAENS 14800 DEAUVILLE";0;27/10/2010
"Altitude Infra Dunkerque Grand Littoral";BART;"508791639 00067";Nanterre;"TOUR TRINITY 18 PLACE DE LA DEFENSE 92400 COURBEVOIE";0;19/11/2008
"Altitude infra Grand Nancy";TTNY;"498710193 00034";Nancy;"2 RUE DE LA DOUANE 54000 NANCY";0;23/08/2007
"Altitude infra gravelines";GRAV;"922351044 00016";Evreux;"2247 VOIE DE L'OREE 27100 VAL DE REUIL";0;07/02/2024
"Altitude Infra Haute-Savoie";TUHS;"798626750 00029";Annecy;"32 RUE GUSTAVE EIFFEL SEYNOD 74600 ANNECY";0;02/02/2016
"Altitude infra Somme";TUD6;"807897608 00038";Nanterre;"IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE 92310 SEVRES";0;16/01/2015
"Altitude infrastructure";CPOD;"403112667 00114";;"2247 VOIE DE L'OREE 27100 VAL DE REUIL";1;21/11/2005
"Altitude infrastructure exploitation";AIEX;"509662052 00166";Nanterre;"TOUR ARIANE 5 PLACE DE LA PYRAMIDE 92088 PARIS LA DEFENSE CEDEX";1;21/10/2010
"Altup conseil";ALTU;"803893460 00011";Lyon;"13 COURS DE VERDUN-GENSOUL 69002 LYON";0;22/03/2018
"Always on";LEON;"503111668 00037";PARIS;"35 RUE DES JEUNEURS 75002 PARIS";1;29/04/2008
"AM trust";AMTR;"402723050 00207";Nanterre;"12-16 RUE SARAH BERNHARDT 92600 ASNIERES-SUR-SEINE";0;03/04/2019
"Amazon Kuiper France";AKFR;"905376315 00016";Nanterre;"67 BOULEVARD DU GENERAL LECLERC 92110 CLICHY";0;15/12/2022
"Amazon Kuiper Services Europe sarl";AKSE;;"B269908 Luxembourg";"AMAZON LUX18 38 AVENUE JF KENNEDY 1855 LUXEMBOURG LUXEMBOURG";0;15/12/2022
"Ambition consulting et services";ACSE;"514475573 00036";Bourg-en-Bresse;"146 RUE DE CORNU 01600 REYRIEUX";0;29/05/2020
"AMCS LLC";AWSS;;"5983418 Delaware USA";"LITTLE FALLS DRIVE 251 19808 WILMINGTON DELAWARE ETATS-UNIS";1;03/05/2021
"AMD Informatique";AMDI;"353201189 00043";CARCASSONNE;"352 RUE HENRI PITOT 11000 CARCASSONNE";0;14/05/2024
"Amedia solutions";AMSO;"440718187 00022";Brive-la-Gaillarde;"15 RUE DE FELETZ 19100 BRIVE-LA-GAILLARDE";1;27/10/2016
"Amigest IT";AMIT;"880519913 00011";Lyon;"169 AVENUE CHARLES DE GAULLE 69160 TASSIN-LA-DEMI-LUNE";0;07/10/2020
"Amilease informatique";AMIL;"449876994 00038";Lyon;"WESTPARK  BAT 1 21 RUE DE L'INDUSTRIE 69530 BRIGNAIS";0;10/02/2025
"Amix informatique";AMIX;"410059588 00013";"Le Mans";"24 RUE GAMBETTA 72300 SABLE-SUR-SARTHE";0;09/03/2018
Amplement;AMPL;"520330200 00046";Nanterre;"26 RUE D'ORADOUR-SUR-GLANE 75015 PARIS";0;24/03/2020
"Analyse system micro informatique";ASMI;"387765340 00030";Pontoise;"25 AVENUE DE LA CONSTELLATION 95800 CERGY";0;03/01/2024
Ancelade;ANCD;"918495201 00017";Paris;"128 RUE LA BOETIE 75008 PARIS";0;08/12/2022
Angelinks;ANGK;"894517721 00011";Lyon;"2507 AVENUE DE L'EUROPE 69140 RILLIEUX-LA-PAPE";0;11/05/2021
"Anjou fibre";ANFI;"837780949 00017";Angers;"25 RUE LENEPVNEU 49100 ANGERS";0;09/03/2018
"Annatel telecom";ANEL;"802181958 00017";Paris;"4 RUE DU DAHOMEY 75011 PARIS";1;28/10/2014
"Antares technologie";ANIE;"753081454 00039";Nanterre;"10 RUE DE L ASPIRANT D ARGENT 92300 LEVALLOIS-PERRET";0;08/02/2017
"Anthea informatique";ANTH;"818712549 00026";Tarbes;"19 RUE DU TOURMALET 65420 IBOS";0;15/09/2021
"Any link";ANYL;"920039682 00017";"La Rochelle";"2 RUE DE CHAMBORD 17180 PERIGNY";0;13/04/2023
Aowoa;AOWO;"790412498 00012";Toulon;"ESPACE GALAXIE C 526 AV. MARECHAL DE LATTRE DE TASSIGNY 83000 TOULON";1;03/07/2017
"APB-multimedia SAS";APBM;"790810642 00013";Tours;"4 RUE DU NOUVEAU CALVAIRE 37100 TOURS";0;18/03/2019
"APE t\xe9l\xe9com";APET;"832802839 00023";Lyon;"65 RUE DU PESAGE 69140 RILLIEUX-LA-PAPE";0;08/11/2017
Apinet;APNT;"851219469 00018";"La Roche-sur-Yon";"11 TER RUE DE LA METAIRIE 85500 LES HERBIERS";0;12/06/2019
"Appel telecom";APPE;"803845585 00014";Toulouse;"41 RUE DE LA DECOUVERTE CS 37621 31676 LABEGE";1;11/12/2014
Appius;APPI;"390692069 00029";"Lille M\xe9tropole";"LES TERRASSES DU PONT NEUF 58 AVENUE DU PEUPLE BELGE 59000 LILLE";0;28/10/2019
"ARA Informatique";ARAI;"841492754 00012";Aubenas;"CS30029 14 AVENUE DE L'EUROPE CS30029 07102 ANNONAY CEDEX";0;06/08/2018
"Ara telecom";ARAT;"483446001 00032";Mulhouse;"1 AVENUE PIERRE PFLIMLIN 68390 SAUSHEIM";0;28/11/2014
"Aragon t\xe9l\xe9com";ARAG;"508519584 00017";Paris;"10 RUE DE PENTHIEVRE 75008 PARIS";1;28/10/2008
"Aramis SI";ARAM;"479341570 00030";Evry;"BOULEVARD DES COQUIBUS 17/19 IMPASSE ALEXIS TRINQUET 91000 EVRY";0;05/10/2015
Aramys;ARYS;"447997404 00044";Pontoise;"63 RUE ELIE GRUYELLE 62110 HENIN-BEAUMONT";0;22/08/2019
Arantel;ARAN;"439972597 00033";Nantes;"PARC D ACTIVITES DE LA FORET 24 RUE DE LA COMMUNAUTE 44140 LE BIGNON";0;26/05/2017
"ArcelorMittal France";AMFR;"562094425 00427";Bobigny;"IMMEUBLE LE CEZANNE 6 RUE ANDRE CAMPRA 93212 LA PLAINE SAINT-DENIS CEDEX";1;08/04/2025
"ARGR 2";FIOP;"843903774 00019";Coutances;"35 RUE DOCTEUR FAUVEL 50200 COUTANCES";0;10/06/2021
"Ari\xe8ge Tr\xe8s Haut D\xe9bit";ARTD;"817389588 00028";Foix;"7 TER AVENUE DE FERRIERES 09000 FOIX";0;26/02/2018
"Arios telecom";ARIO;"793226671 00014";"La Roche-sur-Yon";"12 RUE HERVE DE MAREUIL 85320 MAREUIL-SUR-LAY-DISSAIS";0;28/09/2017
"ARS Administration r\xe9seaux et syst\xe8mes";ADRS;"480779412 00034";Aix-en-Provence;"1455 CHEMIN DE SAUVECANNE 13320 BOUC BEL AIR";0;22/06/2021
"ART RBLD";RBLD;"878478478 00034";Compiegne;"42 RUE GAMBETTA 60100 CREIL FRANCE";0;03/02/2025
"Artecka - informatique & telecom";ARTK;"853601607 00015";Bayonne;"57 AVENUE DU MARECHAL JUIN 64200 BIARRITZ";0;11/09/2019
Artefact;ARTF;"444110936 00028";Brive;"ARTECHNOPOLE 3 RUE DES FR\xc8RES GONCOURT 19100 BRIVE LA GAILLARDE";1;06/12/2006
Artelcom;ATLM;"381964394 00054";Cr\xe9teil;"EUROPARC 3 ALLEE DES CERISIERS 94000 CRETEIL";1;06/09/2019
"Asap network";ASAP;"537468480 00018";Avignon;"ESPACE MOMAN 65 CHEMIN DE CAPEAU 84270 VEDENE";0;05/08/2015
Assutech;ASSU;"808891907 00012";Versailles;"21 BOULEVARD LITTRE 78600 LE MESNIL-LE-ROI";0;19/07/2017
"Astec informatique";ASTE;"484718341 00015";Sens;"4 PLACE DE LA REPUBLIQUE 89500 VILLENEUVE SUR YONNE";0;17/03/2015
Asterian;ASTN;"918416462 00011";Nanterre;"TOUR ARIANE 5 PLACE DE LA PYRAMIDE 92800 PUTEAUX";0;15/02/2023
